Ano;Mês;Dia;Irradiação
2019;Jan;1;6,8
2019;Jan;2;6,74
2019;Jan;3;6,58
2019;Jan;4;6,6
2019;Jan;5;6,32
2019;Jan;6;4,9
2019;Jan;7;4,87
2019;Jan;8;3,28
2019;Jan;9;4,92
2019;Jan;10;4,24
2019;Jan;11;6,52
2019;Jan;12;4,7
2019;Jan;13;5,51
2019;Jan;14;4,96
2019;Jan;15;3,04
2019;Jan;16;6,65
2019;Jan;17;6,2
2019;Jan;18;3,33
2019;Jan;19;2,39
2019;Jan;20;6,18
2019;Jan;21;5,86
2019;Jan;22;7,18
2019;Jan;23;6,9
2019;Jan;24;5,86
2019;Jan;25;6,23
2019;Jan;26;4,24
2019;Jan;27;5,58
2019;Jan;28;6,99
2019;Jan;29;6,56
2019;Jan;30;6,95
2019;Jan;31;4,72
2019;Fev;1;2,24
2019;Fev;2;3,77
2019;Fev;3;4,78
2019;Fev;4;6,12
2019;Fev;5;6,75
2019;Fev;6;4,84
2019;Fev;7;2,2
2019;Fev;8;5,65
2019;Fev;9;6,38
2019;Fev;10;7,12
2019;Fev;11;6,96
2019;Fev;12;5,88
2019;Fev;13;4,91
2019;Fev;14;4,86
2019;Fev;15;6
2019;Fev;16;3,49
2019;Fev;17;5,4
2019;Fev;18;5,56
2019;Fev;19;5,68
2019;Fev;20;5,53
2019;Fev;21;2,66
2019;Fev;22;2,42
2019;Fev;23;4,46
2019;Fev;24;3,56
2019;Fev;25;5,33
2019;Fev;26;5,13
2019;Fev;27;3,89
2019;Fev;28;4,05
2019;Mar;1;5,95
2019;Mar;2;4,02
2019;Mar;3;5,02
2019;Mar;4;5,4
2019;Mar;5;4,85
2019;Mar;6;2,08
2019;Mar;7;1,48
2019;Mar;8;4,91
2019;Mar;9;3,67
2019;Mar;10;6,05
2019;Mar;11;6,39
2019;Mar;12;4,46
2019;Mar;13;1,63
2019;Mar;14;3,73
2019;Mar;15;4,16
2019;Mar;16;2,4
2019;Mar;17;7,13
2019;Mar;18;4,37
2019;Mar;19;5,43
2019;Mar;20;5,54
2019;Mar;21;6,22
2019;Mar;22;4,64
2019;Mar;23;2,65
2019;Mar;24;4,84
2019;Mar;25;5,19
2019;Mar;26;4,59
2019;Mar;27;2,55
2019;Mar;28;3,74
2019;Mar;29;4,41
2019;Mar;30;5,23
2019;Mar;31;5,37
2019;Abr;1;3,22
2019;Abr;2;5,83
2019;Abr;3;4,1
2019;Abr;4;3,28
2019;Abr;5;4,65
2019;Abr;6;3,73
2019;Abr;7;6,45
2019;Abr;8;4,64
2019;Abr;9;4,74
2019;Abr;10;5,85
2019;Abr;11;3,52
2019;Abr;12;6,19
2019;Abr;13;4,91
2019;Abr;14;1,23
2019;Abr;15;3,94
2019;Abr;16;5,41
2019;Abr;17;5,77
2019;Abr;18;6,15
2019;Abr;19;5,61
2019;Abr;20;1,98
2019;Abr;21;4,29
2019;Abr;22;5,52
2019;Abr;23;3,62
2019;Abr;24;4,89
2019;Abr;25;3,15
2019;Abr;26;1,86
2019;Abr;27;5,26
2019;Abr;28;2,11
2019;Abr;29;3,71
2019;Abr;30;4,11
2019;Mai;1;3,08
2019;Mai;2;5,79
2019;Mai;3;6,54
2019;Mai;4;5,77
2019;Mai;5;5,61
2019;Mai;6;5,39
2019;Mai;7;1,84
2019;Mai;8;3,5
2019;Mai;9;1,69
2019;Mai;10;5,64
2019;Mai;11;2,69
2019;Mai;12;5,17
2019;Mai;13;5,29
2019;Mai;14;5,48
2019;Mai;15;6,02
2019;Mai;16;5,44
2019;Mai;17;5,47
2019;Mai;18;5,75
2019;Mai;19;5,04
2019;Mai;20;2,93
2019;Mai;21;5,12
2019;Mai;22;4,23
2019;Mai;23;5,84
2019;Mai;24;4,83
2019;Mai;25;5,63
2019;Mai;26;4,69
2019;Mai;27;5,51
2019;Mai;28;5,96
2019;Mai;29;5,43
2019;Mai;30;4,5
2019;Mai;31;5,05
2019;Jun;1;5,84
2019;Jun;2;5,44
2019;Jun;3;5,76
2019;Jun;4;5,85
2019;Jun;5;5,9
2019;Jun;6;5,83
2019;Jun;7;5,81
2019;Jun;8;5,46
2019;Jun;9;5,76
2019;Jun;10;5,67
2019;Jun;11;4,07
2019;Jun;12;3,01
2019;Jun;13;4,04
2019;Jun;14;3,09
2019;Jun;15;5,68
2019;Jun;16;5,5
2019;Jun;17;4,46
2019;Jun;18;5,45
2019;Jun;19;5,94
2019;Jun;20;5,87
2019;Jun;21;6,01
2019;Jun;22;4,76
2019;Jun;23;6,05
2019;Jun;24;5,72
2019;Jun;25;5,83
2019;Jun;26;5,8
2019;Jun;27;5,59
2019;Jun;28;5,99
2019;Jun;29;5,75
2019;Jun;30;5,8
2019;Jul;1;5,19
2019;Jul;2;5,78
2019;Jul;3;4,49
2019;Jul;4;6
2019;Jul;5;5,66
2019;Jul;6;5,5
2019;Jul;7;5,5
2019;Jul;8;5,59
2019;Jul;9;6,02
2019;Jul;10;5,49
2019;Jul;11;5,32
2019;Jul;12;5,05
2019;Jul;13;5,4
2019;Jul;14;5,71
2019;Jul;15;5,47
2019;Jul;16;5,57
2019;Jul;17;4,98
2019;Jul;18;6,09
2019;Jul;19;6,31
2019;Jul;20;4,29
2019;Jul;21;5,78
2019;Jul;22;5,93
2019;Jul;23;5,63
2019;Jul;24;6,09
2019;Jul;25;5,92
2019;Jul;26;5,48
2019;Jul;27;5,45
2019;Jul;28;5,67
2019;Jul;29;6,25
2019;Jul;30;6,13
2019;Jul;31;5,66
2019;Ago;1;5,81
2019;Ago;2;5,75
2019;Ago;3;5,84
2019;Ago;4;5,47
2019;Ago;5;5,9
2019;Ago;6;4,85
2019;Ago;7;5,31
2019;Ago;8;6,6
2019;Ago;9;6,52
2019;Ago;10;6,61
2019;Ago;11;6,5
2019;Ago;12;6,38
2019;Ago;13;6,5
2019;Ago;14;5,56
2019;Ago;15;6,28
2019;Ago;16;6,42
2019;Ago;17;6,24
2019;Ago;18;6,4
2019;Ago;19;6,26
2019;Ago;20;6,34
2019;Ago;21;6,63
2019;Ago;22;6,46
2019;Ago;23;6,41
2019;Ago;24;6,65
2019;Ago;25;5,91
2019;Ago;26;6,53
2019;Ago;27;6,57
2019;Ago;28;6,53
2019;Ago;29;6,58
2019;Ago;30;6,54
2019;Ago;31;6,39
2019;Set;1;6,03
2019;Set;2;6,17
2019;Set;3;6,39
2019;Set;4;6,33
2019;Set;5;6,46
2019;Set;6;6,31
2019;Set;7;6,89
2019;Set;8;6,62
2019;Set;9;6,5
2019;Set;10;6,68
2019;Set;11;6,89
2019;Set;12;5,77
2019;Set;13;6,84
2019;Set;14;6,57
2019;Set;15;6,57
2019;Set;16;6,61
2019;Set;17;6,56
2019;Set;18;6,77
2019;Set;19;7
2019;Set;20;6,98
2019;Set;21;6,68
2019;Set;22;6,01
2019;Set;23;6,93
2019;Set;24;6,68
2019;Set;25;6,94
2019;Set;26;6,99
2019;Set;27;6,64
2019;Set;28;6,85
2019;Set;29;6,96
2019;Set;30;6,1
2019;Out;1;6,08
2019;Out;2;6,16
2019;Out;3;6,78
2019;Out;4;6,27
2019;Out;5;7,05
2019;Out;6;6,55
2019;Out;7;5,99
2019;Out;8;7,01
2019;Out;9;6,94
2019;Out;10;6,89
2019;Out;11;6,76
2019;Out;12;6,77
2019;Out;13;6,62
2019;Out;14;6,56
2019;Out;15;7,07
2019;Out;16;6,59
2019;Out;17;6,74
2019;Out;18;6,53
2019;Out;19;6,55
2019;Out;20;6,47
2019;Out;21;6,86
2019;Out;22;7,3
2019;Out;23;7,08
2019;Out;24;7,08
2019;Out;25;7
2019;Out;26;6,82
2019;Out;27;7,01
2019;Out;28;7,01
2019;Out;29;7,06
2019;Out;30;7,07
2019;Out;31;7,03
2019;Nov;1;6,85
2019;Nov;2;6,53
2019;Nov;3;6,33
2019;Nov;4;6,71
2019;Nov;5;6,86
2019;Nov;6;6,84
2019;Nov;7;6,94
2019;Nov;8;6,89
2019;Nov;9;6,45
2019;Nov;10;6,7
2019;Nov;11;6,57
2019;Nov;12;7,05
2019;Nov;13;6,7
2019;Nov;14;6,84
2019;Nov;15;6,7
2019;Nov;16;6,54
2019;Nov;17;6,8
2019;Nov;18;6,48
2019;Nov;19;6,29
2019;Nov;20;5,71
2019;Nov;21;6,03
2019;Nov;22;6,75
2019;Nov;23;6,36
2019;Nov;24;6,72
2019;Nov;25;6,78
2019;Nov;26;6,66
2019;Nov;27;6,81
2019;Nov;28;6,88
2019;Nov;29;6,71
2019;Nov;30;6,38
2019;Dez;1;6,67
2019;Dez;2;6,97
2019;Dez;3;6,83
2019;Dez;4;6,69
2019;Dez;5;6,62
2019;Dez;6;6,94
2019;Dez;7;6,9
2019;Dez;8;6,84
2019;Dez;9;6,86
2019;Dez;10;6,72
2019;Dez;11;5,91
2019;Dez;12;6,08
2019;Dez;13;5,58
2019;Dez;14;6,34
2019;Dez;15;6,22
2019;Dez;16;6,23
2019;Dez;17;6,29
2019;Dez;18;6,35
2019;Dez;19;6,06
2019;Dez;20;5,47
2019;Dez;21;6,3
2019;Dez;22;6,62
2019;Dez;23;5,83
2019;Dez;24;5,42
2019;Dez;25;6,49
2019;Dez;26;6,51
2019;Dez;27;6,29
2019;Dez;28;6,39
2019;Dez;29;6,3
2019;Dez;30;4,44
2019;Dez;31;2,21
2020;Jan;1;4,58
2020;Jan;2;3,57
2020;Jan;3;6,16
2020;Jan;4;6,04
2020;Jan;5;5,53
2020;Jan;6;6,19
2020;Jan;7;5,75
2020;Jan;8;4,33
2020;Jan;9;3,49
2020;Jan;10;5,53
2020;Jan;11;6,07
2020;Jan;12;6,78
2020;Jan;13;5,85
2020;Jan;14;6,09
2020;Jan;15;6,24
2020;Jan;16;6,41
2020;Jan;17;6,02
2020;Jan;18;5,42
2020;Jan;19;4,88
2020;Jan;20;6,77
2020;Jan;21;6,79
2020;Jan;22;5,6
2020;Jan;23;5,47
2020;Jan;24;6,45
2020;Jan;25;6,58
2020;Jan;26;2,7
2020;Jan;27;5,56
2020;Jan;28;4,34
2020;Jan;29;6,51
2020;Jan;30;3,95
2020;Jan;31;0,71
2020;Fev;1;6,47
2020;Fev;2;5,66
2020;Fev;3;6,11
2020;Fev;4;4,93
2020;Fev;5;2,77
2020;Fev;6;4,18
2020;Fev;7;6,47
2020;Fev;8;6,37
2020;Fev;9;5,72
2020;Fev;10;3,28
2020;Fev;11;6,4
2020;Fev;12;6,53
2020;Fev;13;1,94
2020;Fev;14;4,91
2020;Fev;15;4,46
2020;Fev;16;5,39
2020;Fev;17;2,15
2020;Fev;18;4,21
2020;Fev;19;3,66
2020;Fev;20;2,53
2020;Fev;21;4
2020;Fev;22;1,25
2020;Fev;23;4,92
2020;Fev;24;5,9
2020;Fev;25;3,66
2020;Fev;26;4,92
2020;Fev;27;5,04
2020;Fev;28;5,67
2020;Mar;29;6,07
2020;Mar;1;5,13
2020;Mar;2;5,51
2020;Mar;3;6,25
2020;Mar;4;4,16
2020;Mar;5;6,34
2020;Mar;6;6,36
2020;Mar;7;3,1
2020;Mar;8;5,98
2020;Mar;9;5,41
2020;Mar;10;4,54
2020;Mar;11;5,82
2020;Mar;12;4,94
2020;Mar;13;1,78
2020;Mar;14;4,29
2020;Mar;15;4,04
2020;Mar;16;3,65
2020;Mar;17;5,04
2020;Mar;18;6,67
2020;Mar;19;5,59
2020;Mar;20;6,23
2020;Mar;21;5,68
2020;Mar;22;6,78
2020;Mar;23;6,92
2020;Mar;24;6,1
2020;Mar;25;4,79
2020;Mar;26;4,99
2020;Mar;27;6,51
2020;Mar;28;6,72
2020;Mar;29;6,64
2020;Mar;30;0,73
2020;Abr;31;4,65
2020;Abr;1;3,04
2020;Abr;2;5,64
2020;Abr;3;4,88
2020;Abr;4;2,45
2020;Abr;5;5,28
2020;Abr;6;3,82
2020;Abr;7;5,36
2020;Abr;8;5,77
2020;Abr;9;4,62
2020;Abr;10;5,08
2020;Abr;11;5,53
2020;Abr;12;5,33
2020;Abr;13;4,8
2020;Abr;14;6,09
2020;Abr;15;4,98
2020;Abr;16;2,97
2020;Abr;17;4,33
2020;Abr;18;5,25
2020;Abr;19;6,46
2020;Abr;20;5,56
2020;Abr;21;0,72
2020;Abr;22;4,78
2020;Abr;23;5,65
2020;Abr;24;3,33
2020;Abr;25;3,25
2020;Abr;26;3,42
2020;Abr;27;1,79
2020;Abr;28;4,59
2020;Abr;29;3,72
2020;Mai;30;3,13
2020;Mai;1;3,25
2020;Mai;2;6,11
2020;Mai;3;5,38
2020;Mai;4;3,54
2020;Mai;5;5,89
2020;Mai;6;5,21
2020;Mai;7;5,91
2020;Mai;8;5,66
2020;Mai;9;3,95
2020;Mai;10;4,2
2020;Mai;11;5,96
2020;Mai;12;6,28
2020;Mai;13;6
2020;Mai;14;4,35
2020;Mai;15;1,8
2020;Mai;16;1,82
2020;Mai;17;6,27
2020;Mai;18;5,78
2020;Mai;19;5,2
2020;Mai;20;5,28
2020;Mai;21;4,68
2020;Mai;22;3,8
2020;Mai;23;5,09
2020;Mai;24;5,74
2020;Mai;25;6,15
2020;Mai;26;5,98
2020;Mai;27;6,08
2020;Mai;28;5,75
2020;Mai;29;5,21
2020;Mai;30;4,73
2020;Jun;31;3,76
2020;Jun;1;5,33
2020;Jun;2;5,9
2020;Jun;3;5,16
2020;Jun;4;4,85
2020;Jun;5;5,8
2020;Jun;6;5,84
2020;Jun;7;2,77
2020;Jun;8;5,95
2020;Jun;9;5,5
2020;Jun;10;4,31
2020;Jun;11;2,47
2020;Jun;12;2,74
2020;Jun;13;5,04
2020;Jun;14;5,04
2020;Jun;15;5,99
2020;Jun;16;5,73
2020;Jun;17;4,63
2020;Jun;18;5,9
2020;Jun;19;5,7
2020;Jun;20;5,15
2020;Jun;21;4,89
2020;Jun;22;5,18
2020;Jun;23;3,97
2020;Jun;24;3,91
2020;Jun;25;4,37
2020;Jun;26;3,52
2020;Jun;27;5,35
2020;Jun;28;5,8
2020;Jun;29;3,5
2020;Jul;30;5,89
