Ano;Mês;Dia;Irradiação
2020;Jul;1;5,76
2020;Jul;2;5,65
2020;Jul;3;5,28
2020;Jul;4;5,76
2020;Jul;5;5,86
2020;Jul;6;2,03
2020;Jul;7;5,45
2020;Jul;8;6,01
2020;Jul;9;3,17
2020;Jul;10;5,68
2020;Jul;11;6,12
2020;Jul;12;5,29
2020;Jul;13;6,24
2020;Jul;14;6,21
2020;Jul;15;5,83
2020;Jul;16;6,09
2020;Jul;17;6,18
2020;Jul;18;5,32
2020;Jul;19;6,3
2020;Jul;20;4,22
2020;Jul;21;5,31
2020;Jul;22;6,19
2020;Jul;23;5,35
2020;Jul;24;6,11
2020;Jul;25;6,27
2020;Jul;26;6,06
2020;Jul;27;6,03
2020;Jul;28;6,19
2020;Jul;29;6,32
2020;Jul;30;5,91
2020;Ago;31;6,44
2020;Ago;1;6,24
2020;Ago;2;6,3
2020;Ago;3;6,28
2020;Ago;4;6,51
2020;Ago;5;6,6
2020;Ago;6;6,44
2020;Ago;7;6,48
2020;Ago;8;6,69
2020;Ago;9;6,48
2020;Ago;10;6,01
2020;Ago;11;6,43
2020;Ago;12;6,51
2020;Ago;13;6,07
2020;Ago;14;6,29
2020;Ago;15;6,33
2020;Ago;16;6,55
2020;Ago;17;6,6
2020;Ago;18;6,52
2020;Ago;19;5,92
2020;Ago;20;6,22
2020;Ago;21;6,2
2020;Ago;22;5,88
2020;Ago;23;5,9
2020;Ago;24;6,64
2020;Ago;25;6,63
2020;Ago;26;6,46
2020;Ago;27;6,01
2020;Ago;28;6,64
2020;Ago;29;6,43
2020;Ago;30;6,3
2020;Set;31;6,84
2020;Set;1;6,62
2020;Set;2;6,75
2020;Set;3;6,67
2020;Set;4;6,79
2020;Set;5;7,03
2020;Set;6;6,86
2020;Set;7;6,9
2020;Set;8;6,86
2020;Set;9;6,94
2020;Set;10;6,67
2020;Set;11;6,07
2020;Set;12;6,8
2020;Set;13;6,67
2020;Set;14;6,87
2020;Set;15;6,69
2020;Set;16;6,63
2020;Set;17;6,8
2020;Set;18;6,69
2020;Set;19;5,98
2020;Set;20;5,87
2020;Set;21;6,5
2020;Set;22;6,8
2020;Set;23;6,78
2020;Set;24;6,94
2020;Set;25;6,58
2020;Set;26;6,35
2020;Set;27;6,62
2020;Set;28;6,29
2020;Set;29;6,92
2020;Out;30;7,04
2020;Out;1;6,72
2020;Out;2;7,1
2020;Out;3;6,89
2020;Out;4;6,82
2020;Out;5;6,76
2020;Out;6;6,73
2020;Out;7;6,91
2020;Out;8;7,05
2020;Out;9;6,95
2020;Out;10;7,13
2020;Out;11;6,89
2020;Out;12;6,97
2020;Out;13;6,87
2020;Out;14;6,97
2020;Out;15;6,5
2020;Out;16;7,12
2020;Out;17;6,84
2020;Out;18;7,1
2020;Out;19;6,78
2020;Out;20;6,84
2020;Out;21;6,97
2020;Out;22;6,16
2020;Out;23;6,7
2020;Out;24;6,25
2020;Out;25;6,27
2020;Out;26;6,85
2020;Out;27;6,53
2020;Out;28;6,42
2020;Out;29;6,81
2020;Out;30;6,94
2020;Nov;31;6,68
2020;Nov;1;6,77
2020;Nov;2;6,69
2020;Nov;3;4,47
2020;Nov;4;6,08
2020;Nov;5;6,77
2020;Nov;6;6,92
2020;Nov;7;6,45
2020;Nov;8;6,21
2020;Nov;9;7,1
2020;Nov;10;3,79
2020;Nov;11;5,29
2020;Nov;12;6,57
2020;Nov;13;6,89
2020;Nov;14;6,85
2020;Nov;15;6,75
2020;Nov;16;6,56
2020;Nov;17;5,74
2020;Nov;18;6,52
2020;Nov;19;6,14
2020;Nov;20;5,09
2020;Nov;21;6,36
2020;Nov;22;5,73
2020;Nov;23;6,53
2020;Nov;24;6,22
2020;Nov;25;6,54
2020;Nov;26;5,47
2020;Nov;27;6,72
2020;Nov;28;6,24
2020;Nov;29;6,98
2020;Dez;30;6,74
2020;Dez;1;6,28
2020;Dez;2;6,54
2020;Dez;3;6,11
2020;Dez;4;6,69
2020;Dez;5;6,25
2020;Dez;6;5,53
2020;Dez;7;5,64
2020;Dez;8;6,84
2020;Dez;9;6,62
2020;Dez;10;6,62
2020;Dez;11;6,47
2020;Dez;12;6,59
2020;Dez;13;5,71
2020;Dez;14;5,9
2020;Dez;15;6,04
2020;Dez;16;6,1
2020;Dez;17;6,42
2020;Dez;18;6,43
2020;Dez;19;6,59
2020;Dez;20;6,53
2020;Dez;21;6,59
2020;Dez;22;6,54
2020;Dez;23;5,19
2020;Dez;24;5,42
2020;Dez;25;4,93
2020;Dez;26;5,97
2020;Dez;27;6,69
2020;Dez;28;5,92
2020;Dez;29;6,83
2020;Dez;30;6,61
2020;Dez;31;6,52
2021;Jan;1;6,55
2021;Jan;2;6,43
2021;Jan;3;6,22
2021;Jan;4;6,63
2021;Jan;5;6,76
2021;Jan;6;5,91
2021;Jan;7;5,86
2021;Jan;8;6,03
2021;Jan;9;6,44
2021;Jan;10;6,17
2021;Jan;11;6,61
2021;Jan;12;6,16
2021;Jan;13;5,61
2021;Jan;14;5,56
2021;Jan;15;6,65
2021;Jan;16;6,65
2021;Jan;17;5,68
2021;Jan;18;5,07
2021;Jan;19;3,25
2021;Jan;20;2,8
2021;Jan;21;6
2021;Jan;22;5,81
2021;Jan;23;5,2
2021;Jan;24;4,98
2021;Jan;25;5,41
2021;Jan;26;5,42
2021;Jan;27;6,93
2021;Jan;28;5,06
2021;Jan;29;4,23
2021;Jan;30;6,02
2021;Jan;31;5,59
2021;Fev;1;5,47
2021;Fev;2;5,79
2021;Fev;3;6,26
2021;Fev;4;6,82
2021;Fev;5;6,85
2021;Fev;6;7,14
2021;Fev;7;6,92
2021;Fev;8;6,46
2021;Fev;9;5,23
2021;Fev;10;6,02
2021;Fev;11;6,21
2021;Fev;12;5,94
2021;Fev;13;6,75
2021;Fev;14;5,79
2021;Fev;15;5,76
2021;Fev;16;1,24
2021;Fev;17;4,25
2021;Fev;18;6,55
2021;Fev;19;5,77
2021;Fev;20;3,17
2021;Fev;21;6,66
2021;Fev;22;6,63
2021;Fev;23;5,36
2021;Fev;24;5,48
2021;Fev;25;6,79
2021;Fev;26;5,25
2021;Fev;27;5,83
2021;Fev;28;5,27
2021;Mar;1;5,04
2021;Mar;2;5,98
2021;Mar;3;6
2021;Mar;4;4,38
2021;Mar;5;3,69
2021;Mar;6;6,02
2021;Mar;7;2,87
2021;Mar;8;4,9
2021;Mar;9;6,56
2021;Mar;10;6,08
2021;Mar;11;6
2021;Mar;12;5,33
2021;Mar;13;5,91
2021;Mar;14;6,65
2021;Mar;15;5,47
2021;Mar;16;4,43
2021;Mar;17;3,76
2021;Mar;18;5,54
2021;Mar;19;6,76
2021;Mar;20;6,45
2021;Mar;21;4,83
2021;Mar;22;5,36
2021;Mar;23;5,91
2021;Mar;24;4,47
2021;Mar;25;3,5
2021;Mar;26;3,54
2021;Mar;27;1,42
2021;Mar;28;5,65
2021;Mar;29;6,4
2021;Mar;30;5,8
2021;Mar;31;2,36
2021;Abr;1;6,77
2021;Abr;2;6,39
2021;Abr;3;6
2021;Abr;4;6,27
2021;Abr;5;6,55
2021;Abr;6;6,24
2021;Abr;7;4,71
2021;Abr;8;5,98
2021;Abr;9;5,35
2021;Abr;10;6,63
2021;Abr;11;2,69
2021;Abr;12;6,21
2021;Abr;13;5,07
2021;Abr;14;6,36
2021;Abr;15;4,85
2021;Abr;16;6,26
2021;Abr;17;5,14
2021;Abr;18;5,03
2021;Abr;19;4,46
2021;Abr;20;5,79
2021;Abr;21;5,81
2021;Abr;22;5,27
2021;Abr;23;4,4
2021;Abr;24;4,73
2021;Abr;25;6,27
2021;Abr;26;6,5
2021;Abr;27;6,49
2021;Abr;28;5,66
2021;Abr;29;5,1
2021;Abr;30;5,51
2021;Mai;1;5,78
2021;Mai;2;3,65
2021;Mai;3;2,23
2021;Mai;4;2,63
2021;Mai;5;4,61
2021;Mai;6;4,32
2021;Mai;7;5,92
2021;Mai;8;4,25
2021;Mai;9;6,17
2021;Mai;10;6,13
2021;Mai;11;5,61
2021;Mai;12;5,4
2021;Mai;13;3,55
2021;Mai;14;1,5
2021;Mai;15;3,51
2021;Mai;16;6,09
2021;Mai;17;5,98
2021;Mai;18;5,84
2021;Mai;19;5,21
2021;Mai;20;6,08
2021;Mai;21;6,17
2021;Mai;22;5,96
2021;Mai;23;5,65
2021;Mai;24;5,86
2021;Mai;25;6,1
2021;Mai;26;6,13
2021;Mai;27;6,04
2021;Mai;28;5,62
2021;Mai;29;5,8
2021;Mai;30;5,97
2021;Mai;31;5,7
2021;Jun;1;5,87
2021;Jun;2;5,83
2021;Jun;3;6,17
2021;Jun;4;6,11
2021;Jun;5;6,09
2021;Jun;6;5,74
2021;Jun;7;5,06
2021;Jun;8;4,71
2021;Jun;9;4,59
2021;Jun;10;5,64
2021;Jun;11;5,66
2021;Jun;12;5,32
2021;Jun;13;5,6
2021;Jun;14;5,85
2021;Jun;15;4,9
2021;Jun;16;3,78
2021;Jun;17;5,7
2021;Jun;18;4,96
2021;Jun;19;5,62
2021;Jun;20;5,79
2021;Jun;21;6
2021;Jun;22;5,77
2021;Jun;23;5,93
2021;Jun;24;6,06
2021;Jun;25;5,94
2021;Jun;26;6
2021;Jun;27;5,98
2021;Jun;28;5,9
2021;Jun;29;5,02
2021;Jun;30;5,84
2021;Jul;1;4,03
2021;Jul;2;5,03
2021;Jul;3;5,7
2021;Jul;4;5,79
2021;Jul;5;5,92
2021;Jul;6;5,12
2021;Jul;7;5,99
2021;Jul;8;6,13
2021;Jul;9;4,1
2021;Jul;10;5,61
2021;Jul;11;5,67
2021;Jul;12;5,8
2021;Jul;13;5,12
2021;Jul;14;5,84
2021;Jul;15;5
2021;Jul;16;6,03
2021;Jul;17;5,77
2021;Jul;18;5,94
2021;Jul;19;6,03
2021;Jul;20;5,46
2021;Jul;21;6,4
2021;Jul;22;6,18
2021;Jul;23;6,29
2021;Jul;24;6,15
2021;Jul;25;6,26
2021;Jul;26;6,16
2021;Jul;27;6,18
2021;Jul;28;5,17
2021;Jul;29;5,77
2021;Jul;30;5,95
2021;Jul;31;6,19
2021;Ago;1;6,36
2021;Ago;2;6,55
2021;Ago;3;6,19
2021;Ago;4;6,34
2021;Ago;5;6,51
2021;Ago;6;6,03
2021;Ago;7;6,27
2021;Ago;8;6,16
2021;Ago;9;6,11
2021;Ago;10;6,08
2021;Ago;11;6,36
2021;Ago;12;5,31
2021;Ago;13;6,35
2021;Ago;14;6,69
2021;Ago;15;6,41
2021;Ago;16;6,22
2021;Ago;17;6,54
2021;Ago;18;6,69
2021;Ago;19;6,68
2021;Ago;20;6,55
2021;Ago;21;6,52
2021;Ago;22;6,6
2021;Ago;23;5,83
2021;Ago;24;6,06
2021;Ago;25;5,85
2021;Ago;26;6,67
2021;Ago;27;6,68
2021;Ago;28;6,53
2021;Ago;29;6,11
2021;Ago;30;5,55
2021;Ago;31;6,6
2021;Set;1;6,59
2021;Set;2;6,73
2021;Set;3;6,67
2021;Set;4;6,4
2021;Set;5;6,39
2021;Set;6;6,88
2021;Set;7;6,71
2021;Set;8;6,01
2021;Set;9;6,97
2021;Set;10;6,31
2021;Set;11;6,47
2021;Set;12;6,87
2021;Set;13;6,01
2021;Set;14;6,37
2021;Set;15;5,81
2021;Set;16;6,48
2021;Set;17;6,74
2021;Set;18;6,85
2021;Set;19;6,86
2021;Set;20;6,76
2021;Set;21;6,87
2021;Set;22;6,88
2021;Set;23;6,79
2021;Set;24;6,4
2021;Set;25;6,56
2021;Set;26;6,71
2021;Set;27;6,07
2021;Set;28;6,57
2021;Set;29;6,53
2021;Set;30;6,26
2021;Out;1;6,63
2021;Out;2;6,86
2021;Out;3;6,39
2021;Out;4;6,68
2021;Out;5;6,56
2021;Out;6;6,4
2021;Out;7;6,79
2021;Out;8;6,56
2021;Out;9;6,51
2021;Out;10;6,48
2021;Out;11;7,17
2021;Out;12;6,75
2021;Out;13;6,84
2021;Out;14;6,11
2021;Out;15;6,58
2021;Out;16;6,52
2021;Out;17;6,82
2021;Out;18;6,37
2021;Out;19;6,77
2021;Out;20;6,63
2021;Out;21;6,72
2021;Out;22;6,64
2021;Out;23;6,58
2021;Out;24;6,26
2021;Out;25;6,76
2021;Out;26;7,05
2021;Out;27;7,08
2021;Out;28;7,1
2021;Out;29;7,05
2021;Out;30;5,25
2021;Out;31;6,03
2021;Nov;1;6,54
2021;Nov;2;6,92
2021;Nov;3;7,05
2021;Nov;4;6,94
2021;Nov;5;5,55
2021;Nov;6;6,86
2021;Nov;7;6,48
2021;Nov;8;6,72
2021;Nov;9;7,07
2021;Nov;10;6,66
2021;Nov;11;7,29
2021;Nov;12;6,85
2021;Nov;13;6,63
2021;Nov;14;6,47
2021;Nov;15;6,98
2021;Nov;16;6,92
2021;Nov;17;6,74
2021;Nov;18;6,56
2021;Nov;19;6,72
2021;Nov;20;6,52
2021;Nov;21;7
2021;Nov;22;6,37
2021;Nov;23;6,67
2021;Nov;24;6,72
2021;Nov;25;6,4
2021;Nov;26;5,73
2021;Nov;27;6,93
2021;Nov;28;6,78
2021;Nov;29;6,73
2021;Nov;30;6,79
2021;Dez;1;6,08
2021;Dez;2;5,97
2021;Dez;3;5,65
2021;Dez;4;5,89
2021;Dez;5;6,39
2021;Dez;6;5,52
2021;Dez;7;6,55
2021;Dez;8;6,36
2021;Dez;9;6,36
2021;Dez;10;5,93
2021;Dez;11;6,78
2021;Dez;12;6,58
2021;Dez;13;5,88
2021;Dez;14;6,14
2021;Dez;15;6,57
2021;Dez;16;6,74
2021;Dez;17;6,68
2021;Dez;18;6,39
2021;Dez;19;6,33
2021;Dez;20;6,12
2021;Dez;21;5,77
2021;Dez;22;6,35
2021;Dez;23;6,15
2021;Dez;24;5
2021;Dez;25;5,96
2021;Dez;26;4,08
2021;Dez;27;4,97
2021;Dez;28;6,27
2021;Dez;29;6,12
2021;Dez;30;5,05
2021;Dez;31;4,33
